Transaction Name,Organization Url,Organization Name,Funding Type,Money Raised,Announced Date,Funding Stage,Pre-Money Valuation,Equity Only Funding,Organization Description,Organization Industries,Organization Revenue Range,Total Funding Amount,Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors,CB Rank (Funding Round),component--field-formatter href 3,,link-accent 5,link-accent 7
Pre Seed Round - MeatoDoor,https://www.crunchbase.com/organization/meatodoor,MeatoDoor,Pre-Seed,"$400,000 ",30-Apr-22,Seed,"$4,000,000 ",Yes,"MeatOdoor is digitizing the complex meat ordering process to deliver efficiency, quality, and efficiency to food businesses.",Communities,�,"$400,000 ",Seed,1,,�,"65,467",https://meattodoor.ae/,,Abu Dhabi,United Arab Emirates
Grant - Olymon,https://www.crunchbase.com/organization/olymon,Olymon,Grant,"$25,500 ",9-Jun-22,�,�,No,"SaaS, Retail Technology, B2B, Middle-ware",B2B,�,"$30,500 ",Seed,2,,�,"65,715",https://www.olymon.io/,,Abu Dhabi,United Arab Emirates
Angel Round - Olymon,https://www.crunchbase.com/organization/olymon,Olymon,Angel,"$5,000 ",9-Jun-22,Seed,"$3,000,000 ",Yes,"SaaS, Retail Technology, B2B, Middle-ware",B2B,�,"$30,500 ",Seed,2,,�,"65,772",https://www.olymon.io/,,Abu Dhabi,United Arab Emirates
Pre Seed Round - Edfundo,https://www.crunchbase.com/organization/edfundo,Edfundo,Pre-Seed,"$400,000 ",29-Nov-21,Seed,�,Yes,"The World's first family financial education and money management application. Built by teachers. Learn, Earn, Save, Spend with Edfundo.",Finance,�,"$400,000 ",Seed,1,,�,"66,423",http://edfundo.com/,,Dubai,United Arab Emirates
Seed Round - Lewk.com,https://www.crunchbase.com/organization/lewk-13a2,Lewk.com,Seed,"$560,000 ",2-Dec-21,Seed,"$26,000,000 ",Yes,Lewk enhances creators� ability to generate great content and boost the efficiency of their social media profiles.,Blockchain,�,"$3,290,000 ",�,3,Exnetwork Capital,1,"66,739",https://lewk.com/,,Dubai,United Arab Emirates
Pre Seed Round - Sanadme App,https://www.crunchbase.com/organization/sanadme-app,Sanadme App,Pre-Seed,"$50,000 ",15-Jan-22,Seed,"$5,000,000 ",Yes,Sanad is an app aggregation technology that instantly connects consumers & businesses to a network of nearby trucks and roadside assistance,Logistics,�,"$50,000 ",Seed,1,,�,"66,912",https://www.sanadme.app/,,Dubai,United Arab Emirates
Pre Seed Round - Quantl AI,https://www.crunchbase.com/organization/quantl-ai,Quantl AI,Pre-Seed,"$250,000 ",3-Aug-21,Seed,"$1,000,000 ",Yes,"We provide infrastructure as a service for quants to build, test and deploy their trading strategies for all digital assets.",Cloud Computing,�,"$250,000 ",Seed,1,,�,"67,218",https://www.quantl.net/,,Dubai,United Arab Emirates
Pre Seed Round - Wally,https://www.crunchbase.com/organization/wally,Wally,Pre-Seed,"$3,650,000 ",1-Nov-21,Seed,�,Yes,The easiest and fastest way to manage your financial life in one place. Get clarity. Get smarter. Get in-control.,Finance,�,"$4,800,000 ",Seed,2,,�,"67,639",http://www.wally.me/,,Dubai,United Arab Emirates
Seed Round - Rama Vision Portal,https://www.crunchbase.com/organization/rama-vision-portal,Rama Vision Portal,Seed,"$721,000 ",1-Feb-21,Seed,"$5,000,000 ",Yes,AI Powered Automated Investment Managment Company.,Financial Services,�,"$781,000 ",Seed,2,,�,"67,526",https://ramavision.ae/,,Dubai,United Arab Emirates
Pre Seed Round - Attarius Network,https://www.crunchbase.com/organization/attarius-network,Attarius Network,Pre-Seed,"$100,000 ",15-Dec-21,Seed,�,Yes,The first and only all-in-one NFT ecosystem for game industry,Blockchain,�,"$100,000 ",Seed,2,Private Investor,1,"67,612",https://attarius.com/,,Abu Dhabi,United Arab Emirates
Seed Round - COCONUT,https://www.crunchbase.com/organization/coconut-41a9,COCONUT,Seed,�,1-Apr-22,Seed,�,Yes,"The leading social recruitment community in the hospitality world, were hiring is Quick, Simple and Seriously Fun!",Food and Beverage,�,�,Seed,1,,�,"68,104",https://www.coconutjobs.com/,,Dubai,United Arab Emirates
Pre Seed Round - Foodsouq Technologies,https://www.crunchbase.com/organization/foodsouq-technologies,Foodsouq Technologies,Pre-Seed,"$1,000 ",8-Apr-22,Seed,"$3,125,052 ",Yes,Foodsouq is a cloud-based restaurant management and food delivery platform providing customers better and hassle-free experience,,�,"$1,000 ",Seed,1,,�,"68,347",https://www.foodsouq.net/,,Dubai,United Arab Emirates
Pre Seed Round - Proton,https://www.crunchbase.com/organization/proton-f342,Proton,Pre-Seed,"$700,000 ",31-Dec-21,Seed,�,Yes,Digital Insurance Products as a Service for Insurers with focus on AI underwriting and customer servicing.,InsurTech,�,"$700,000 ",Seed,1,,�,"69,623",https://www.proton.insure/,,Dubai,United Arab Emirates
Seed Round - Speaklab,https://www.crunchbase.com/organization/speaklab,Speaklab,Seed,�,1-May-22,Seed,�,Yes,Speaklab App is the first language social network with AI technologies.,Artificial Intelligence,�,�,Seed,1,,�,"69,765",https://speakclubs.com/,,Dubai,United Arab Emirates
Pre Seed Round - CarLogik,https://www.crunchbase.com/organization/carlogik,CarLogik,Pre-Seed,"$100,000 ",1-Jan-22,Seed,�,Yes,An online auto service and repair marketplace that allow customers to compare and book quality services with vetted workshops,Automotive,�,"$100,000 ",Seed,1,,�,"70,059",https://www.carlogik.com/,,Dubai,United Arab Emirates
Pre Seed Round - Omorphia,https://www.crunchbase.com/organization/omorphia,Omorphia,Pre-Seed,"$312,000 ",1-Feb-22,Seed,"$2,100,000 ",Yes,Omorphia is a beauty care brand that develops their own products with natural ingredients and their own integrated probiotic formula.,Cosmetics,�,"$312,000 ",Seed,1,,�,"70,439",https://www.omorphia.co/,,Dubai,United Arab Emirates
Pre Seed Round - Spreadd,https://www.crunchbase.com/organization/spreadd,Spreadd,Pre-Seed,"$90,000 ",1-Feb-22,Seed,�,Yes,Decentralised AdTech Platform,Advertising Platforms,�,"$90,000 ",Seed,1,,�,"71,875",https://spreadd.io/,,Dubai,United Arab Emirates
Pre Seed Round - Montiplay,https://www.crunchbase.com/organization/montiplay,Montiplay,Pre-Seed,"$500,000 ",1-Oct-21,Seed,�,Yes,The first subscription-based mobile app offering parents science-backed techniques and tools to support brain development in formative years,Mobile Apps,�,"$500,000 ",Seed,1,,�,"72,317",https://www.montiplay.com/,,Dubai,United Arab Emirates
Corporate Round - STEPPI,https://www.crunchbase.com/organization/steppi,STEPPI,Corporate Round,"$1,800,000 ",12-Oct-21,�,�,Yes,STEPPI is a corporate health and community engagement platform.,Fitness,Less than $1M,"$2,520,000 ",�,2,Embody Fitness,1,"73,294",https://www.steppi.com/,,Dubai,United Arab Emirates
Pre Seed Round - PalletPal,https://www.crunchbase.com/organization/palletpal,PalletPal,Pre-Seed,"$200,000 ",30-Sep-21,Seed,�,Yes,PalletPal is a digital freight platform designed with shippers in mind.,Freight Service,�,"$200,000 ",Seed,1,Draper Associates,1,"78,466",https://palletpal.me/,,Dubai,United Arab Emirates
Private Equity Round - Amtec Links International,https://www.crunchbase.com/organization/amtec-links-international,Amtec Links International,Private Equity,"$100,000 ",24-Nov-21,Private Equity,�,Yes,"Amtec Links International is an IT company that develops, manufacture, sell, resell, and support a range of products and solutions.",Cloud Computing,$1M to $10M,"$100,000 ",Private Equity,1,Muhammad Ismail,1,"78,760",https://www.amteclinks.com/,,Ras Al Khaimah,United Arab Emirates
Angel Round - Taccato,https://www.crunchbase.com/organization/staccato-e486,Taccato,Angel,"$31,000 ",18-Jan-21,Seed,�,Yes,Taccato is the first online music school in the MENA region available in the Arabic language.,E-Learning,�,"$31,000 ",Seed,1,,�,"78,808",https://www.taccato.com/,,Dubai,United Arab Emirates
Initial Coin Offering - Okratech,https://www.crunchbase.com/organization/okratech,Okratech,Initial Coin Offering,"$50,000 ",24-Jan-22,�,�,Yes,"Okratech is a software development company that provides web development, cyber security and digital marketing services.",Digital Marketing,�,"$50,000 ",�,1,,�,"78,965",https://okratech.co/,,Dubai,United Arab Emirates
Pre Seed Round - PODLINES,https://www.crunchbase.com/organization/podlines,PODLINES,Pre-Seed,"$400,000 ",1-Apr-20,Seed,"$100,000 ",Yes,"Digital platform that embraces podcasters through its platform, based on monitoring activity and rewards, and on several levels.",Information Technology,�,"$400,000 ",Seed,1,FasterCapital,1,"79,251",https://www.podlines.com/,,Dubai,United Arab Emirates
Pre Seed Round - LegalTech Middle East,https://www.crunchbase.com/organization/legaltech-middle-east,LegalTech Middle East,Pre-Seed,"$1,000,000 ",10-Feb-22,Seed,"$5,000,000 ",Yes,LegalTech ME is a specialized legal technology service provider to create a digital transformation in the legal industry,Information Technology,�,"$1,000,000 ",Seed,1,,�,"79,751",https://legal-tech.me/,,Dubai,United Arab Emirates
Seed Round - Game Lounge,https://www.crunchbase.com/organization/game-lounge-8e19,Game Lounge,Seed,"$550,000 ",17-Jan-22,Seed,�,Yes,"The Game Lounge is a gaming room in the metaverse where players can hang out with friends, play the games and boast a NFT collection.",Blockchain,�,"$550,000 ",Seed,1,,�,"79,842",https://gamelounge.xyz/,,Dubai,United Arab Emirates
Seed Round - QIDZ LLC,https://www.crunchbase.com/organization/qidz-llc,QIDZ LLC,Seed,"$300,000 ",27-Apr-21,Seed,�,Yes,"QiDZ is a mobile platform that allows parents to find, plan, and book kid-friendly activities.",Apps,$1M to $10M,"$1,878,615 ",Seed,7,Vision Ventures,1,"80,655",http://www.qidz.com/,,Dubai,United Arab Emirates
Seed Round - UAE Times Now,https://www.crunchbase.com/organization/uae-times-now,UAE Times Now,Seed,"AED2,000,000",5-Sep-21,Seed,"AED2,100,000",Yes,"Get the latest update on UAE, business, life style, UAE jobs updates from UAE Times Now",News,�,"AED2,000,000",Seed,1,,�,"82,550",https://uaetimesnow.com/,,Dubai,United Arab Emirates
Non Equity Assistance - ArtSmiley,https://www.crunchbase.com/organization/artsmiley,ArtSmiley,Non-equity Assistance,�,14-Jun-20,�,�,No,Market place for arts,Art,�,�,�,2,Prepare 4 VC,1,"83,667",https://www.artsmiley.com/,,Dubai,United Arab Emirates
Venture Round - MonkiBox,https://www.crunchbase.com/organization/monkibox,MonkiBox,Venture - Series Unknown,�,8-Aug-21,�,�,Yes,"MonkiBox is an online portal that provides a subscription box of developmental toys, books, and essentials.",E-Commerce,�,�,�,1,500 Startups,1,"83,584",https://monkibox.com/,,Dubai,United Arab Emirates
Pre Seed Round - Wemax,https://www.crunchbase.com/organization/wemax,Wemax,Pre-Seed,"$700,000 ",1-May-21,Seed,�,Yes,Wemax is a UAE based company with main business activity of developing and selling sustainable energy solutions,Clean Energy,�,"$700,000 ",Seed,1,,�,"84,028",https://wemaxpro.com/,,Dubai,United Arab Emirates
Seed Round - Vortex Biotech,https://www.crunchbase.com/organization/vortex-biotech,Vortex Biotech,Seed,�,1-Dec-21,Seed,"$8,266,101 ",Yes,Vortex Biotech is a cutting-edge start-up that develops intelligent solutions for a better life.,Biotechnology,�,�,Seed,2,,�,"85,147",https://www.vortexbiotech.it/,,Dubai,United Arab Emirates
Convertible Note - WakeCap Technologies,https://www.crunchbase.com/organization/wakecap-technologies,WakeCap Technologies,Convertible Note,�,27-Sep-21,�,�,No,WakeCap is an IoT-based enterprise solution to improve safety & productivity in the construction site,Construction,�,"$2,460,000 ",�,8,SOSV,1,"85,979",http://www.wakecap.com/,,Dubai,United Arab Emirates
Funding Round - Wamda Capital,https://www.crunchbase.com/organization/wamda,Wamda Capital,Funding Round,�,1-Jan-15,�,�,Yes,Wamda Capital is the MENA region's leading venture capital firm investing in exceptional entrepreneurs.,Finance,$1M to $10M,�,�,1,Banvest,1,"86,305",http://wamdacapital.com/,,Dubai,United Arab Emirates
Seed Round - Marefa Digital,https://www.crunchbase.com/organization/marefa-digital,Marefa Digital,Seed,"$485,000 ",1-Jan-20,Seed,�,Yes,"Marefa Digita, an EdTech company that provides Arab professionals with eLearning tools and content to create, publish and learn in Arabic.",E-Learning,�,"$1,641,000 ",Seed,4,,�,"86,742",https://marefadigital.com/,,Dubai,United Arab Emirates
Angel Round - FinFlx,https://www.crunchbase.com/organization/finflx,FinFlx,Angel,�,5-Sep-21,Seed,�,Yes,Flexible pension plans for SMEs in the MENA region.,Financial Services,�,"$1,500,000 ",Seed,2,,�,"86,957",https://finflx.com/,,Abu Dhabi,United Arab Emirates
Pre Seed Round - GetAnyHome,https://www.crunchbase.com/organization/getanyhome,GetAnyHome,Pre-Seed,�,26-Nov-21,Seed,�,Yes,Properties the easy way. Dubai | Hong Kong | Singapore | Shanghai | Los Angeles,Property Management,�,�,Seed,1,,�,"87,989",https://app.getanyhome.com/,,Dubai,United Arab Emirates
Debt Financing - Opontia,https://www.crunchbase.com/organization/opontia,Opontia,Debt Financing,"$20,000,000 ",3-Jun-21,�,�,No,Opontia provides a fast and fair way for small e-commerce business owners to sell their companies.,Brand Marketing,�,"$62,000,000 ",Early Stage Venture,4,Global Founders Capital,7,"88,943",https://www.opontia.com/,,Dubai,United Arab Emirates
Seed Round - Opontia,https://www.crunchbase.com/organization/opontia,Opontia,Seed,�,3-Jun-21,Seed,�,Yes,Opontia provides a fast and fair way for small e-commerce business owners to sell their companies.,Brand Marketing,�,"$62,000,000 ",Early Stage Venture,4,Global Founders Capital,8,"88,957",https://www.opontia.com/,,Dubai,United Arab Emirates
Pre Seed Round - jumy,https://www.crunchbase.com/organization/jumy,jumy,Pre-Seed,"$400,000 ",1-Oct-21,Seed,�,Yes,Jumy is a curated NFT marketplace and Web3 advisory platform. Empowering Artists to unlock the value of NFTs.,Art,�,"$400,000 ",Seed,1,,�,"90,028",https://www.jumy.co/,,Dubai,United Arab Emirates
Seed Round - Channels Inc.,https://www.crunchbase.com/organization/chanels,Channels Inc.,Seed,"$520,000 ",30-Jun-21,Seed,�,Yes,Channels is a SaaS company focused on providing a communications platform for the physical worker rather than the remote.,Event Management,�,"$571,780 ",Seed,4,Sahra Growth Capital,1,"90,264",https://www.seechannels.tech/,,Dubai,United Arab Emirates
Seed Round - Pectiv,https://www.crunchbase.com/organization/pectiv,Pectiv,Seed,"$600,000 ",1-Apr-20,Seed,�,Yes,A revolutionary Nanotechnology sanitary pads on monthly subscription service satisfy women�s need and solve their problems.,Consumer Goods,�,"$600,000 ",Seed,1,Elias Abboud,1,"91,012",http://www.pectiv.com/,,Dubai,United Arab Emirates
Pre Seed Round - Theeye,https://www.crunchbase.com/organization/theeye,Theeye,Pre-Seed,"$100,000 ",1-Sep-21,Seed,�,Yes,Watch real estate live directly from developers in just 30 seconds,Broadcasting,�,"$150,000 ",Seed,2,,�,"91,300",https://www.theeye.live/,,Dubai,United Arab Emirates
Angel Round - arcab,https://www.crunchbase.com/organization/arcab,arcab,Angel,�,1-Apr-19,Seed,�,Yes,arcab is the technology enabled private bus aggregator. It enables fleet owners to make more money by increasing utilization of vehicles,B2B,�,�,Seed,3,,�,"91,727",https://ar.cab/,,Dubai,United Arab Emirates
Grant - Augmental,https://www.crunchbase.com/organization/augmental-s-a-l,Augmental,Grant,"$50,000 ",30-Apr-19,�,�,No,Augmental is an educational technology solution initially targeting students where courses are adapted to each student�s learning abilities.,EdTech,�,"$112,000 ",�,6,,�,"91,851",http://augmental.education/,,Abu Dhabi,United Arab Emirates
Grant - Augmental,https://www.crunchbase.com/organization/augmental-s-a-l,Augmental,Grant,"$12,000 ",9-Nov-19,�,�,No,Augmental is an educational technology solution initially targeting students where courses are adapted to each student�s learning abilities.,EdTech,�,"$112,000 ",�,6,,�,"91,857",http://augmental.education/,,Abu Dhabi,United Arab Emirates
Grant - Augmental,https://www.crunchbase.com/organization/augmental-s-a-l,Augmental,Grant,"$15,000 ",1-Jan-18,�,�,No,Augmental is an educational technology solution initially targeting students where courses are adapted to each student�s learning abilities.,EdTech,�,"$112,000 ",�,6,,�,"91,828",http://augmental.education/,,Abu Dhabi,United Arab Emirates
Grant - Augmental,https://www.crunchbase.com/organization/augmental-s-a-l,Augmental,Grant,"$33,000 ",15-Jan-18,�,�,No,Augmental is an educational technology solution initially targeting students where courses are adapted to each student�s learning abilities.,EdTech,�,"$112,000 ",�,6,,�,"91,870",http://augmental.education/,,Abu Dhabi,United Arab Emirates
Grant - Augmental,https://www.crunchbase.com/organization/augmental-s-a-l,Augmental,Grant,"$2,000 ",20-Dec-18,�,�,No,Augmental is an educational technology solution initially targeting students where courses are adapted to each student�s learning abilities.,EdTech,�,"$112,000 ",�,6,,�,"91,862",http://augmental.education/,,Abu Dhabi,United Arab Emirates
Pre Seed Round - DHARMA,https://www.crunchbase.com/organization/dharma-c251,DHARMA,Pre-Seed,"$915,000 ",18-Jan-21,Seed,�,Yes,Travel brand-as-a-service,Hospitality,�,"$3,367,000 ",Seed,3,B&Y Venture Capital Partners,1,"92,052",https://www.seekdharma.com/,,Abu Dhabi,United Arab Emirates
Seed Round - Clevertrip,https://www.crunchbase.com/organization/clevertrip,Clevertrip,Seed,�,1-Oct-21,Seed,"$10,206,178 ",Yes,"Clevertrip is an online travel agency and technology company that provides hotel reservations, airline tickets, and attractions.",Information Technology,�,"$750,000 ",Seed,2,,�,"91,912",https://www.clevertrip.com/,,Abu Dhabi,United Arab Emirates
Angel Round - Koala Picks,https://www.crunchbase.com/organization/koala-picks,Koala Picks,Angel,"AED1,500,000",12-Sep-21,Seed,�,Yes,Koala Picks is the healthy snack brand for children.,Food and Beverage,�,"AED1,500,000",Seed,1,,�,"92,707",https://koalapicks.com/,,Dubai,United Arab Emirates
